,1,2
0,430,812
1,1012,373
2,1283,347
3,1246,908
4,1086,174
5,463,575
6,773,1297
7,224,1265
8,751,300
9,1156,1029
10,821,518
11,1006,1167
12,167,72
13,959,775
14,717,843
15,315,280
16,995,109
17,851,377
18,19,1286
19,334,1327
20,759,1066
21,1107,720
22,672,1203
23,600,593
24,1214,479
25,207,357
26,87,583
27,213,893
28,319,48
29,854,9
30,93,1028
31,1225,281
32,716,1017
33,476,921
34,755,70
35,1123,999
36,636,250
37,809,1010
38,651,638
39,663,1353
40,454,653
41,695,125
42,203,299
43,1364,736
44,723,601
45,1261,724
46,1120,243
47,834,1310
48,38,605
49,233,705
50,131,301
51,1172,806
52,511,1328
53,232,850
54,779,524
55,1174,694
56,121,162
57,402,386
58,308,429
59,558,1000
60,1109,897
61,157,1253
62,23,1105
63,106,831
64,15,779
65,1227,989
66,521,1023
67,331,133
68,381,939
69,273,954
70,570,251
71,54,1298
72,1113,798
73,364,480
74,1269,1184
75,705,666
76,1148,510
77,1045,155
78,548,544
79,1251,1255
80,1055,702
81,1311,1264
82,742,1229
83,304,322
84,1291,1344
85,28,1112
86,1171,275
87,115,304
88,1219,725
89,1270,1352
90,477,1228
91,57,591
92,248,869
93,116,375
94,484,459
95,1242,306
96,680,665
97,1074,581
98,864,458
99,12,1248
100,423,37
101,1110,23
102,230,407
103,902,311
104,198,1037
105,75,1197
106,163,687
107,616,1243
108,138,204
109,799,82
110,180,2
111,234,1169
112,214,1250
113,1202,502
114,621,878
115,606,1003
116,63,1192
117,1163,1178
118,117,789
119,321,557
120,936,1370
121,679,233
122,429,699
123,890,614
124,850,400
125,765,1113
126,721,99
127,667,753
128,168,951
129,223,762
130,537,519
131,471,1062
132,1061,403
133,1358,138
134,422,317
135,533,920
136,255,844
137,474,477
138,340,964
139,507,190
140,516,810
141,290,1142
142,238,906
143,68,1234
144,1352,61
145,910,538
146,630,5
147,302,388
148,771,1094
149,852,505
150,95,401
151,1279,1173
152,801,955
153,1333,612
154,518,828
155,1154,87
156,218,547
157,706,421
158,506,657
159,247,33
160,137,799
161,376,406
162,146,223
163,816,1064
164,643,160
165,1046,52
166,1125,697
167,1091,396
168,508,1163
169,462,1358
170,351,235
171,1256,696
172,501,161
173,378,1251
174,200,600
175,356,1233
176,1205,728
177,353,255
178,787,1148
179,1222,148
180,206,680
181,1207,972
182,888,1345
183,919,134
184,587,1043
185,623,1267
186,0,1132
187,459,792
188,1025,461
189,323,747
190,1069,165
191,1119,18
192,804,310
193,9,341
194,27,733
195,763,525
196,1150,579
197,847,918
198,1294,102
