,1,2
0,1287,97
1,150,1293
2,79,382
3,1353,773
4,731,1219
5,768,73
6,555,685
7,1165,553
8,352,184
9,1092,690
10,193,503
11,969,144
12,1008,228
13,790,777
14,156,1006
15,1305,772
16,408,919
17,268,1342
18,1068,817
19,577,995
20,1143,1083
21,603,813
22,699,780
23,197,932
24,527,740
25,842,1053
26,465,754
27,59,320
28,617,674
29,133,899
30,172,232
31,274,11
32,235,755
33,669,511
34,433,57
35,783,838
36,849,739
37,440,443
38,309,821
39,961,376
40,219,967
41,490,629
42,98,947
43,707,303
44,1211,563
45,504,145
46,559,734
47,160,651
48,384,1022
49,245,66
50,333,428
51,884,1
52,1235,1020
53,181,343
54,1020,943
55,526,729
56,571,316
57,564,126
58,913,631
59,582,154
60,345,455
61,1234,509
62,947,1060
63,1281,463
64,627,606
65,647,1369
66,1366,1349
67,1187,1242
68,889,146
69,458,916
70,221,927
71,1216,761
72,460,475
73,520,562
74,920,1261
75,1102,934
76,306,295
77,360,330
78,86,53
79,553,1196
80,90,1162
81,989,336
82,1201,571
83,129,1098
84,389,662
85,581,1363
86,608,32
87,210,1080
88,916,862
89,398,1150
90,683,262
91,1265,1249
92,569,652
93,20,650
94,841,414
95,532,1214
96,661,896
97,173,1104
98,984,217
99,741,658
100,1089,945
101,746,836
102,56,346
103,560,297
104,611,286
105,425,92
106,589,241
107,1220,1042
108,1067,876
109,497,528
110,1203,1246
111,64,1076
112,58,339
113,937,1027
114,1014,1091
115,830,315
116,444,371
117,338,267
118,118,88
119,903,609
120,648,1008
121,349,118
122,1027,1015
123,1263,239
124,760,750
125,962,882
126,1124,1130
127,100,446
128,1161,1291
129,657,91
130,436,641
131,1170,1019
132,85,829
133,540,924
134,503,261
135,1088,935
136,735,1263
137,164,478
138,523,111
139,895,1009
140,875,521
141,262,205
142,1000,380
143,377,1085
144,36,279
145,1320,17
146,467,790
147,756,44
148,125,840
149,632,1004
150,162,586
151,628,41
152,900,517
153,390,611
154,1330,670
155,996,1139
156,859,1111
157,544,997
158,184,348
159,399,270
160,452,1211
161,1184,1125
162,866,294
163,677,845
164,457,894
165,1098,506
166,1343,287
167,530,354
168,862,890
169,1260,237
170,1132,706
171,443,1321
172,625,20
173,675,1051
174,1169,659
175,33,737
176,917,936
177,388,663
178,656,556
179,74,1235
180,337,63
181,10,1157
182,178,1175
183,128,637
184,42,1238
185,343,895
186,317,856
187,613,410
188,624,912
189,428,381
190,72,880
191,271,902
192,637,594
193,1273,240
194,363,1086
195,1022,756
196,550,615
197,44,1070
198,998,1025
199,860,809
200,1213,430
201,924,757
202,517,74
203,418,342
204,1152,1191
205,149,220
206,1224,1181
207,738,434
208,432,402
209,1231,1324
210,153,395
211,489,431
212,619,1266
213,350,318
214,1168,206
215,524,981
216,645,169
217,62,69
218,324,541
219,958,1073
220,136,245
221,871,719
222,729,83
223,528,956
224,1271,978
225,822,366
226,407,60
227,76,825
228,562,552
229,329,877
230,736,873
231,858,55
232,1084,115
233,1230,196
234,159,613
235,148,130
236,139,568
237,326,103
238,909,116
239,1209,1048
240,1009,513
241,49,482
242,666,1213
243,1145,914
244,658,987
245,1365,56
246,1026,501
247,1043,187
248,400,404
249,242,64
250,26,215
251,561,1101
252,21,580
253,177,578
254,718,746
255,1253,94
256,69,800
257,1232,1308
258,840,874
259,1306,949
260,1315,630
261,754,100
262,250,1143
263,1267,368
264,1005,1258
265,618,452
266,1335,1313
267,270,182
268,565,385
269,734,224
270,1367,1322
271,837,536
272,938,383
273,169,1314
274,1159,199
275,808,76
276,750,437
277,1338,714
278,383,59
279,1304,1225
280,1308,1252
281,466,494
282,1141,1126
283,464,1026
284,1106,1357
285,251,1271
286,792,166
287,1065,13
288,956,1039
289,593,34
290,1032,258
291,182,47
292,1313,450
293,886,669
294,922,283
295,869,332
296,288,1034
297,50,1281
298,1050,847
299,11,574
300,1130,1165
301,1175,1199
302,1189,1335
303,303,1046
304,812,1013
305,638,417
306,289,168
307,441,49
308,857,1124
309,111,711
310,25,194
311,1007,592
312,912,1278
313,776,90
314,1276,1272
315,1243,852
316,1177,507
317,639,655
318,413,172
319,1116,778
320,1016,1318
321,853,749
322,992,131
323,566,122
324,824,752
325,1129,1082
326,629,903
327,646,1055
328,240,384
329,1100,688
330,855,1361
331,697,365
332,1190,946
333,104,500
334,653,598
335,551,1277
336,784,425
337,574,439
338,509,768
339,1332,608
340,1309,1347
341,1078,891
342,264,467
343,696,1305
344,330,1030
345,158,735
346,392,492
347,1087,721
348,385,1099
349,1252,127
350,1044,983
351,1034,338
352,568,1276
353,311,1166
354,237,105
355,1212,38
356,368,898
357,1188,200
358,409,85
359,1028,1138
360,71,472
361,278,1107
362,907,221
363,826,537
364,678,68
365,1318,331
366,1337,996
367,880,175
368,982,352
369,690,77
370,8,824
371,53,649
372,724,84
373,246,483
374,885,54
375,567,393
376,327,4
377,881,760
378,1134,392
379,1198,991
380,622,907
381,607,474
382,868,78
383,1293,202
384,1072,186
385,487,1285
386,1101,585
387,46,516
388,1063,136
389,762,193
390,296,296
391,70,356
392,145,152
393,605,707
394,18,163
395,475,449
396,344,1016
397,977,1185
398,1105,540
399,1323,1330
400,703,242
401,1215,491
402,931,607
403,1037,1208
404,373,532
405,1348,333
406,211,1329
407,975,249
408,174,675
409,1133,922
410,1317,1170
411,216,39
412,52,969
413,815,1118
414,1356,448
415,1197,120
416,127,79
417,925,390
418,649,398
419,1328,1033
420,887,1063
421,542,691
422,1182,12
423,604,436
424,682,1209
425,126,1052
426,1017,667
427,17,573
428,1239,1002
429,1192,457
430,1158,974
431,1344,292
432,78,1069
433,535,529
434,944,1306
435,906,671
436,791,1239
437,1196,784
438,579,1284
439,1004,839
440,701,272
441,758,904
442,394,632
443,1048,1140
444,878,925
445,908,1241
446,921,1087
447,456,108
448,1295,1054
449,687,106
450,171,1312
451,686,1089
452,201,321
453,1369,1071
454,883,158
455,291,46
456,110,764
457,676,647
458,244,42
459,988,1259
460,743,269
461,81,1217
462,325,30
463,1167,1193
464,655,212
465,659,498
466,968,1092
467,1277,1032
468,1346,870
469,310,832
470,1013,1093
471,192,435
472,1217,763
473,468,960
474,276,554
475,1370,432
476,534,142
477,453,589
478,966,811
479,142,273
480,1079,576
481,491,818
482,105,830
483,644,534
484,979,493
485,747,681
486,112,358
487,397,22
488,438,302
489,845,219
490,260,289
491,1051,447
492,480,992
493,1185,514
494,1033,1057
495,980,930
496,266,378
497,620,36
498,92,859
499,825,861
500,905,364
501,415,1206
502,918,822
503,1275,961
504,37,971
505,946,849
506,777,107
507,1262,25
508,294,872
509,1136,623
510,549,1273
511,161,50
512,943,284
513,1280,1049
514,84,785
515,358,1188
516,612,210
517,1002,716
518,722,531
519,1179,140
520,225,1302
521,231,460
522,47,253
523,227,1189
524,592,80
525,993,660
526,1238,1282
527,1056,794
528,199,644
529,16,710
530,154,110
531,693,642
532,1300,335
533,1118,1346
534,205,1295
535,588,1108
536,681,1309
537,1066,8
538,901,982
539,1316,966
540,263,1168
541,277,602
542,48,147
543,500,1210
544,525,782
545,393,1149
546,1157,1315
547,493,328
548,761,998
549,769,1283
550,874,1116
551,1195,1144
552,829,1350
553,386,1279
554,1077,451
555,1325,484
556,1131,565
557,339,1190
558,404,848
559,926,929
560,478,860
561,1326,325
562,952,1056
563,1274,636
564,1193,1021
565,249,1133
566,426,887
567,239,31
568,1135,334
569,43,942
570,715,226
571,865,928
572,342,968
573,217,497
574,726,1268
575,973,141
576,114,766
577,1023,1152
578,727,422
579,547,786
580,265,765
581,1083,993
582,191,1007
583,130,569
584,348,717
585,1010,1240
586,728,1187
587,915,1159
588,1104,855
589,4,654
590,951,149
591,798,114
592,1053,814
593,280,661
594,188,769
595,152,913
596,1312,1236
597,1094,905
598,1081,1237
599,371,504
600,1080,883
601,861,545
602,1249,815
603,670,65
604,165,191
605,1228,201
606,780,405
607,529,950
608,1126,1260
609,195,805
610,369,550
611,204,171
612,486,1220
613,1181,337
614,945,1296
615,1162,367
616,818,43
617,934,708
618,1151,515
619,1057,1044
620,774,308
621,660,462
622,123,274
623,479,1123
624,144,180
625,375,1339
626,892,101
627,132,826
628,35,767
629,1153,551
630,953,313
631,451,1158
632,502,1257
633,927,397
634,166,559
635,664,1171
636,439,1079
637,674,1356
638,1108,412
639,714,1304
640,1035,834
641,1245,1031
642,446,89
643,226,188
644,1003,1336
645,241,797
646,1058,597
647,1111,271
648,1191,195
649,5,419
650,704,1180
651,510,489
652,1331,802
653,848,305
654,744,1355
655,406,197
656,55,1081
657,585,264
658,1360,994
659,1334,45
660,904,490
661,1041,178
662,1206,234
663,1018,359
664,536,1041
665,89,1340
666,417,156
667,898,1232
668,3,1117
669,14,177
670,737,1231
671,573,150
672,652,399
673,1345,865
674,817,858
675,807,157
676,1229,236
677,595,683
678,843,599
679,354,846
680,796,345
681,332,933
682,803,244
683,935,1354
684,179,1337
