,1,2
0,132,201
1,456,338
2,324,309
3,82,178
4,226,406
5,270,55
6,354,534
7,250,389
8,122,22
9,313,122
10,420,506
11,385,16
12,429,140
13,378,291
14,194,141
15,514,238
16,358,243
17,539,253
18,159,57
19,395,157
20,443,289
21,150,488
22,99,193
23,31,520
24,236,138
25,237,397
26,468,457
27,391,164
28,525,431
29,388,298
30,355,537
31,404,75
32,356,282
33,261,320
34,222,324
35,126,317
36,240,361
37,368,478
38,180,272
39,520,513
40,69,383
41,224,2
42,174,223
43,465,423
44,302,12
45,16,64
46,338,62
47,352,171
48,346,276
49,300,8
50,532,127
51,536,85
52,252,481
53,362,31
54,41,480
55,169,476
56,479,182
57,158,231
58,450,194
59,177,372
60,58,255
61,70,45
62,322,108
63,59,205
64,256,212
65,19,523
66,515,334
67,526,301
68,312,388
69,464,497
70,389,67
71,490,409
72,53,99
73,382,221
74,506,270
75,308,128
76,128,136
77,519,461
78,342,294
79,81,465
80,459,308
81,408,131
82,107,501
83,367,410
84,17,448
85,116,20
86,400,180
87,205,490
88,381,113
89,473,331
90,511,256
91,11,502
92,160,38
93,214,110
94,521,536
95,79,9
96,329,93
97,475,306
98,195,54
99,10,297
100,221,144
101,4,208
102,360,404
103,273,422
104,310,68
105,152,340
106,348,28
107,530,129
108,52,538
109,142,347
110,110,167
111,331,433
112,267,268
113,476,264
114,123,183
115,66,359
116,482,333
117,504,477
118,406,53
119,365,134
120,303,83
121,163,496
122,51,265
123,238,377
124,505,386
125,212,259
126,102,352
127,87,165
128,283,10
129,380,261
130,435,515
131,208,378
132,198,25
133,502,332
134,447,330
135,244,143
136,185,408
137,372,343
138,147,76
139,3,375
140,88,479
141,183,80
142,446,522
143,295,73
144,57,539
145,357,58
146,405,116
147,299,146
148,458,150
149,54,115
150,483,41
151,18,283
152,332,158
153,522,117
154,56,415
155,524,237
156,72,344
157,193,447
158,305,214
159,309,482
160,40,126
161,34,349
162,24,219
163,320,196
164,402,339
165,75,503
166,90,195
167,363,425
168,341,443
169,314,428
170,130,92
171,478,176
172,335,483
173,508,262
174,164,346
175,510,387
176,231,124
177,73,47
178,251,492
179,62,213
180,325,232
181,279,450
182,246,525
183,418,74
184,491,204
185,77,29
186,14,500
187,217,531
188,492,119
189,178,175
190,145,371
191,106,451
192,67,274
193,28,139
194,507,11
195,480,366
196,9,132
197,275,498
198,421,104
199,517,379
200,535,508
201,182,384
202,48,395
203,134,13
204,179,533
205,485,287
206,29,252
207,64,305
208,434,33
209,291,50
210,407,151
211,410,90
212,199,307
213,297,207
214,274,400
215,203,504
216,296,411
217,36,336
218,461,191
219,98,101
220,233,472
221,37,354
222,327,358
223,103,524
224,117,509
225,334,154
226,118,280
227,120,216
228,394,133
229,143,475
230,213,453
231,192,249
232,131,439
233,115,530
234,509,160
235,384,39
236,370,435
237,114,285
238,340,240
239,186,187
240,436,300
241,181,78
242,290,168
243,92,391
244,263,345
245,121,184
246,353,245
247,22,177
248,396,211
249,349,535
250,247,429
251,30,230
252,336,484
253,211,156
254,452,19
255,412,466
256,442,510
257,493,148
258,46,111
259,166,46
260,455,493
261,232,454
262,25,246
263,209,299
264,419,442
265,229,494
266,89,155
267,204,303
268,111,470
269,262,242
