,1,2
0,223,199
1,27,97
2,15,96
3,472,495
4,397,203
5,271,103
6,157,363
7,189,181
8,234,486
9,531,401
10,50,310
11,0,130
12,534,456
13,294,153
14,351,42
15,172,512
16,191,66
17,168,1
18,108,14
19,43,329
20,200,313
21,311,72
22,430,248
23,289,112
24,154,514
25,439,487
26,76,489
27,298,149
28,151,350
29,184,43
30,144,247
31,276,284
32,463,217
33,343,511
34,220,192
35,12,209
36,326,137
37,512,382
38,161,91
39,401,102
40,91,413
41,318,71
42,495,322
43,481,355
44,266,235
45,104,464
46,243,311
47,333,15
48,417,82
49,109,263
50,272,278
51,207,398
52,170,174
53,533,198
54,32,373
55,105,40
56,71,206
57,8,70
58,361,418
59,426,100
60,44,416
61,257,518
62,467,405
63,376,188
64,494,458
65,431,60
66,245,275
67,466,172
68,133,18
69,307,48
70,218,370
71,112,229
72,448,114
73,301,65
74,513,179
75,317,35
76,5,279
77,462,87
78,260,376
79,149,351
80,503,200
81,239,251
82,422,426
83,377,417
84,47,257
85,337,4
86,373,434
87,350,316
88,227,273
89,155,327
90,538,444
91,42,105
92,398,532
93,471,396
94,228,527
95,425,440
96,393,121
97,21,369
98,487,368
99,518,528
100,219,254
101,74,348
102,20,30
103,249,436
104,416,260
105,415,147
106,277,228
107,369,314
108,269,169
109,80,197
110,171,474
111,424,432
112,411,61
113,176,302
114,201,392
115,2,362
116,119,107
117,55,374
118,423,120
119,124,56
120,148,420
121,235,473
122,153,295
123,292,5
124,285,412
125,437,321
126,96,266
127,347,441
128,477,281
129,359,123
130,190,118
131,316,427
132,230,125
133,197,485
134,38,222
135,129,27
136,409,288
137,255,152
138,23,445
139,7,185
140,366,236
141,457,86
142,433,367
143,83,356
144,284,328
145,258,234
146,125,467
147,35,335
148,113,353
149,188,95
150,516,69
151,306,226
152,101,407
153,315,516
154,528,49
155,319,471
156,523,325
157,489,286
158,281,186
159,95,135
160,427,277
161,386,381
162,137,446
163,100,161
164,196,227
165,474,189
166,498,84
167,127,507
168,375,244
169,449,296
170,61,449
171,280,517
172,537,390
173,414,215
174,268,337
175,282,162
176,265,225
177,399,44
178,206,341
179,278,267
180,529,364
181,215,218
182,496,323
183,65,159
184,445,318
185,6,21
186,241,385
187,49,98
188,93,312
189,379,241
190,293,89
191,440,452
192,1,145
193,84,342
194,141,290
195,253,250
196,63,210
197,136,6
198,383,190
199,387,271
200,339,17
201,323,239
202,287,37
203,259,59
204,454,224
205,286,7
206,167,0
207,438,393
208,97,170
209,146,258
210,499,63
211,500,414
212,453,81
213,165,463
214,403,3
215,60,202
216,374,394
217,140,304
218,345,519
219,371,142
220,413,315
221,344,455
222,225,421
223,187,462
224,94,424
225,364,468
226,210,437
227,175,521
228,390,77
229,501,459
230,45,499
231,304,163
232,460,36
233,451,23
234,264,293
235,85,32
236,328,399
237,242,94
238,33,505
239,162,365
240,497,430
241,135,233
242,527,106
243,156,403
244,138,51
245,392,357
246,330,220
247,321,173
248,13,526
249,39,402
250,470,166
251,441,34
252,173,88
253,488,319
254,139,26
255,248,460
256,68,360
257,486,79
258,78,24
259,469,380
260,26,292
261,444,269
262,428,438
263,254,52
264,484,109
265,288,419
266,202,529
267,432,491
268,216,469
269,86,326
